X,Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:29:10,0.49,37,0.152,0.141,0.145,0.139,0.144,0.144,0.149,0.146,0.162,0.155,0.142,0.136,0.145,0.149,0.141,0.159,0.144,0.143,0.147,0.175,0.158,0.149,0.155,0.149,0.141,0.142,0.152,0.141,0.156,0.144,0.148,0.16,0.159,0.144,0.161,0.167,0.148,0.15,0.149,0.15,0.141,0.145,0.157,0.15,0.148,0.15,0.161,0.14,0.153,0.142,0.146,0.144,0.147,0.149,0.148,0.156,0.167,0.153,0.149,0.154,0.148,0.145,0.148,0.139,0.139,0.143,0.151,0.165,0.154,0.147,0.158,0.163,0.152,0.158,0.154,0.141,0.146,0.141,0.15,0.147,0.15,0.146,0.153,0.165,0.146,0.145,0.146,0.136,0.142,0.156,0.154,0.147,0.147,0.151,0.156,0.162
0:59:10,0.99,37.1,0.151,0.141,0.145,0.138,0.143,0.144,0.148,0.145,0.162,0.155,0.141,0.135,0.144,0.148,0.141,0.158,0.143,0.141,0.146,0.175,0.159,0.149,0.154,0.148,0.139,0.14,0.15,0.144,0.157,0.146,0.149,0.159,0.159,0.144,0.159,0.165,0.148,0.148,0.148,0.149,0.142,0.145,0.157,0.151,0.15,0.15,0.16,0.14,0.152,0.142,0.145,0.145,0.146,0.149,0.149,0.156,0.166,0.152,0.151,0.156,0.147,0.144,0.149,0.139,0.138,0.143,0.153,0.166,0.156,0.148,0.158,0.161,0.15,0.157,0.153,0.145,0.148,0.142,0.151,0.149,0.152,0.149,0.154,0.162,0.147,0.144,0.145,0.136,0.141,0.155,0.153,0.146,0.146,0.148,0.153,0.162
1:29:10,1.49,37,0.151,0.142,0.145,0.137,0.142,0.143,0.15,0.146,0.161,0.154,0.145,0.136,0.143,0.147,0.14,0.159,0.143,0.141,0.146,0.174,0.161,0.151,0.154,0.148,0.14,0.14,0.149,0.142,0.155,0.146,0.149,0.158,0.162,0.146,0.158,0.163,0.145,0.148,0.148,0.15,0.142,0.144,0.155,0.151,0.153,0.153,0.158,0.139,0.15,0.143,0.146,0.144,0.146,0.149,0.15,0.158,0.167,0.154,0.152,0.156,0.147,0.145,0.149,0.139,0.139,0.143,0.155,0.168,0.159,0.151,0.159,0.161,0.15,0.157,0.153,0.142,0.146,0.141,0.155,0.152,0.154,0.152,0.158,0.161,0.147,0.144,0.143,0.136,0.141,0.154,0.152,0.145,0.146,0.15,0.154,0.161
1:59:10,1.99,37,0.151,0.141,0.144,0.137,0.141,0.144,0.15,0.146,0.161,0.153,0.145,0.136,0.143,0.147,0.14,0.16,0.144,0.14,0.146,0.173,0.166,0.152,0.154,0.148,0.138,0.139,0.149,0.144,0.156,0.145,0.149,0.158,0.167,0.148,0.156,0.163,0.145,0.147,0.148,0.151,0.144,0.145,0.155,0.151,0.159,0.156,0.158,0.139,0.149,0.143,0.146,0.145,0.147,0.149,0.151,0.16,0.172,0.159,0.152,0.156,0.147,0.145,0.149,0.141,0.14,0.144,0.159,0.172,0.164,0.156,0.163,0.16,0.15,0.158,0.153,0.143,0.147,0.142,0.163,0.159,0.16,0.158,0.165,0.159,0.146,0.144,0.142,0.135,0.14,0.155,0.151,0.144,0.146,0.149,0.153,0.161
2:29:10,2.49,37,0.151,0.143,0.145,0.138,0.142,0.144,0.15,0.146,0.161,0.153,0.144,0.136,0.144,0.146,0.14,0.164,0.145,0.14,0.147,0.172,0.175,0.152,0.154,0.148,0.138,0.14,0.149,0.147,0.158,0.145,0.15,0.159,0.176,0.149,0.157,0.162,0.145,0.147,0.148,0.154,0.146,0.144,0.155,0.151,0.168,0.159,0.157,0.139,0.149,0.143,0.146,0.148,0.149,0.149,0.152,0.162,0.183,0.167,0.152,0.155,0.147,0.146,0.151,0.144,0.143,0.145,0.165,0.177,0.175,0.165,0.168,0.16,0.149,0.161,0.157,0.147,0.151,0.144,0.182,0.17,0.173,0.17,0.181,0.158,0.146,0.144,0.143,0.135,0.14,0.155,0.151,0.143,0.144,0.149,0.153,0.16
2:59:10,2.99,37,0.151,0.143,0.145,0.139,0.141,0.144,0.149,0.145,0.161,0.153,0.144,0.136,0.144,0.146,0.14,0.193,0.146,0.14,0.148,0.172,0.191,0.152,0.154,0.147,0.138,0.14,0.149,0.171,0.164,0.145,0.151,0.159,0.192,0.151,0.157,0.161,0.145,0.147,0.148,0.18,0.161,0.144,0.156,0.151,0.185,0.163,0.157,0.139,0.149,0.143,0.147,0.178,0.172,0.149,0.153,0.164,0.2,0.179,0.152,0.154,0.146,0.147,0.154,0.166,0.165,0.146,0.17,0.186,0.195,0.18,0.177,0.16,0.148,0.183,0.176,0.167,0.171,0.164,0.222,0.191,0.195,0.192,0.213,0.16,0.146,0.143,0.144,0.135,0.14,0.153,0.152,0.144,0.146,0.148,0.154,0.16
3:29:10,3.49,37,0.151,0.141,0.145,0.138,0.141,0.143,0.147,0.145,0.16,0.153,0.143,0.136,0.143,0.146,0.14,0.252,0.15,0.14,0.149,0.173,0.215,0.152,0.154,0.147,0.138,0.14,0.15,0.226,0.181,0.146,0.151,0.161,0.216,0.151,0.156,0.16,0.145,0.147,0.148,0.229,0.216,0.144,0.157,0.152,0.207,0.167,0.157,0.138,0.148,0.143,0.147,0.231,0.222,0.149,0.155,0.167,0.227,0.199,0.152,0.154,0.147,0.149,0.167,0.226,0.213,0.149,0.177,0.199,0.228,0.204,0.185,0.16,0.148,0.273,0.241,0.231,0.233,0.231,0.287,0.225,0.234,0.228,0.268,0.157,0.146,0.143,0.146,0.135,0.14,0.153,0.151,0.144,0.146,0.147,0.153,0.16
3:59:10,3.99,37,0.15,0.142,0.145,0.137,0.141,0.144,0.148,0.144,0.16,0.152,0.143,0.136,0.143,0.146,0.14,0.276,0.161,0.14,0.15,0.173,0.243,0.153,0.154,0.146,0.138,0.14,0.149,0.274,0.227,0.146,0.153,0.162,0.246,0.152,0.156,0.16,0.145,0.147,0.148,0.275,0.239,0.144,0.157,0.152,0.235,0.169,0.156,0.138,0.147,0.143,0.147,0.274,0.261,0.149,0.158,0.169,0.261,0.22,0.152,0.153,0.147,0.151,0.19,0.264,0.261,0.154,0.185,0.209,0.272,0.233,0.193,0.159,0.147,0.326,0.295,0.276,0.28,0.295,0.362,0.272,0.29,0.289,0.344,0.157,0.146,0.143,0.143,0.136,0.14,0.152,0.151,0.144,0.145,0.147,0.153,0.161
4:29:10,4.49,37.1,0.15,0.142,0.145,0.137,0.141,0.144,0.147,0.145,0.16,0.15,0.142,0.135,0.141,0.146,0.14,0.32,0.183,0.14,0.15,0.172,0.28,0.153,0.154,0.146,0.138,0.141,0.149,0.307,0.274,0.146,0.156,0.163,0.283,0.153,0.156,0.159,0.144,0.147,0.148,0.31,0.274,0.143,0.157,0.153,0.267,0.171,0.156,0.138,0.147,0.143,0.147,0.31,0.318,0.15,0.162,0.171,0.302,0.247,0.153,0.154,0.146,0.154,0.237,0.302,0.307,0.162,0.193,0.218,0.328,0.272,0.202,0.158,0.147,0.389,0.343,0.324,0.315,0.348,0.44,0.327,0.358,0.364,0.426,0.158,0.146,0.144,0.144,0.135,0.139,0.153,0.15,0.143,0.145,0.147,0.153,0.161
4:59:10,4.99,37,0.15,0.142,0.145,0.137,0.141,0.144,0.147,0.145,0.16,0.151,0.142,0.136,0.141,0.146,0.14,0.359,0.208,0.14,0.152,0.174,0.32,0.154,0.154,0.147,0.137,0.141,0.15,0.368,0.314,0.146,0.156,0.164,0.319,0.154,0.155,0.158,0.145,0.147,0.148,0.364,0.31,0.144,0.158,0.153,0.293,0.172,0.156,0.139,0.147,0.144,0.147,0.368,0.36,0.15,0.165,0.173,0.342,0.276,0.152,0.152,0.147,0.158,0.283,0.385,0.392,0.173,0.2,0.225,0.379,0.311,0.21,0.158,0.146,0.445,0.42,0.401,0.385,0.418,0.509,0.385,0.427,0.431,0.494,0.157,0.146,0.143,0.143,0.136,0.14,0.153,0.149,0.143,0.144,0.147,0.153,0.161
