X,Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:29:10,0.49,37,0.153,0.145,0.163,0.147,0.152,0.142,0.141,0.143,0.147,0.142,0.142,0.141,0.166,0.157,0.157,0.149,0.164,0.15,0.14,0.147,0.153,0.15,0.152,0.145,0.155,0.204,0.198,0.2,0.179,0.187,0.175,0.187,0.169,0.16,0.151,0.142,0.155,0.168,0.161,0.154,0.148,0.146,0.149,0.162,0.148,0.139,0.153,0.142,0.165,0.149,0.149,0.16,0.144,0.141,0.162,0.142,0.148,0.148,0.149,0.141,0.15,0.157,0.152,0.153,0.155,0.142,0.14,0.142,0.148,0.151,0.15,0.141,0.154,0.221,0.224,0.218,0.199,0.193,0.204,0.201,0.195,0.171,0.144,0.143,0.167,0.159,0.159,0.14,0.158,0.142,0.137,0.147,0.151,0.149,0.146,0.151
0:59:10,0.99,37,0.153,0.146,0.162,0.147,0.153,0.141,0.141,0.143,0.146,0.142,0.141,0.141,0.165,0.159,0.158,0.151,0.164,0.15,0.141,0.149,0.154,0.152,0.154,0.145,0.153,0.203,0.199,0.201,0.181,0.189,0.178,0.188,0.172,0.162,0.153,0.141,0.154,0.168,0.162,0.155,0.149,0.147,0.15,0.161,0.149,0.141,0.154,0.141,0.164,0.149,0.149,0.16,0.144,0.14,0.161,0.142,0.148,0.148,0.15,0.14,0.148,0.158,0.152,0.153,0.156,0.143,0.141,0.144,0.149,0.152,0.15,0.141,0.154,0.218,0.222,0.216,0.197,0.193,0.204,0.202,0.197,0.173,0.146,0.143,0.163,0.156,0.157,0.141,0.155,0.141,0.137,0.147,0.151,0.149,0.146,0.151
1:29:10,1.49,37,0.152,0.146,0.161,0.146,0.152,0.141,0.141,0.143,0.146,0.142,0.142,0.141,0.164,0.161,0.162,0.154,0.167,0.153,0.145,0.152,0.157,0.155,0.158,0.144,0.152,0.201,0.197,0.199,0.179,0.186,0.177,0.187,0.172,0.164,0.157,0.14,0.153,0.17,0.165,0.158,0.152,0.15,0.153,0.162,0.153,0.144,0.158,0.142,0.163,0.148,0.148,0.159,0.143,0.14,0.161,0.142,0.147,0.148,0.154,0.14,0.149,0.16,0.155,0.156,0.159,0.146,0.144,0.147,0.152,0.155,0.154,0.141,0.153,0.215,0.218,0.213,0.195,0.19,0.201,0.2,0.196,0.173,0.149,0.143,0.164,0.156,0.157,0.141,0.155,0.142,0.136,0.146,0.151,0.148,0.146,0.15
1:59:10,1.99,37,0.151,0.145,0.161,0.145,0.152,0.141,0.141,0.142,0.146,0.141,0.142,0.14,0.162,0.169,0.17,0.162,0.173,0.161,0.153,0.16,0.164,0.162,0.166,0.144,0.151,0.199,0.195,0.197,0.177,0.184,0.175,0.185,0.171,0.165,0.164,0.14,0.153,0.174,0.169,0.162,0.157,0.155,0.159,0.167,0.159,0.15,0.165,0.14,0.163,0.148,0.148,0.159,0.143,0.139,0.16,0.142,0.147,0.148,0.161,0.14,0.148,0.165,0.159,0.16,0.164,0.151,0.15,0.152,0.158,0.161,0.162,0.141,0.153,0.213,0.216,0.211,0.192,0.188,0.199,0.197,0.194,0.173,0.158,0.143,0.163,0.156,0.157,0.141,0.154,0.141,0.136,0.145,0.15,0.148,0.146,0.149
2:29:10,2.49,37,0.151,0.146,0.161,0.145,0.151,0.141,0.141,0.143,0.145,0.141,0.142,0.14,0.162,0.187,0.189,0.18,0.19,0.178,0.171,0.177,0.182,0.181,0.184,0.144,0.151,0.198,0.195,0.195,0.176,0.182,0.174,0.184,0.17,0.168,0.182,0.141,0.152,0.187,0.182,0.175,0.17,0.168,0.172,0.18,0.173,0.166,0.181,0.141,0.162,0.148,0.148,0.159,0.142,0.139,0.16,0.141,0.148,0.149,0.178,0.14,0.148,0.176,0.17,0.172,0.175,0.164,0.163,0.167,0.172,0.176,0.178,0.141,0.153,0.213,0.215,0.21,0.191,0.187,0.197,0.196,0.192,0.173,0.176,0.143,0.163,0.155,0.156,0.141,0.153,0.141,0.136,0.146,0.15,0.148,0.146,0.149
2:59:10,2.99,37,0.151,0.146,0.16,0.145,0.151,0.141,0.14,0.142,0.146,0.142,0.141,0.14,0.161,0.223,0.22,0.218,0.223,0.217,0.217,0.221,0.212,0.222,0.242,0.144,0.151,0.198,0.196,0.195,0.176,0.18,0.173,0.182,0.169,0.173,0.236,0.139,0.152,0.211,0.218,0.207,0.201,0.199,0.21,0.212,0.202,0.192,0.235,0.141,0.162,0.148,0.148,0.158,0.142,0.139,0.161,0.142,0.149,0.152,0.235,0.14,0.148,0.194,0.193,0.198,0.203,0.194,0.193,0.191,0.2,0.202,0.228,0.14,0.153,0.211,0.213,0.208,0.191,0.186,0.196,0.195,0.191,0.175,0.219,0.143,0.163,0.154,0.156,0.141,0.153,0.141,0.137,0.145,0.149,0.148,0.146,0.149
3:29:10,3.49,37,0.15,0.145,0.16,0.145,0.15,0.141,0.141,0.142,0.145,0.142,0.142,0.14,0.16,0.267,0.251,0.263,0.255,0.254,0.249,0.255,0.264,0.256,0.291,0.144,0.151,0.198,0.197,0.196,0.176,0.18,0.172,0.181,0.169,0.181,0.272,0.141,0.152,0.246,0.249,0.243,0.239,0.244,0.246,0.254,0.247,0.23,0.271,0.141,0.161,0.147,0.148,0.158,0.142,0.139,0.16,0.142,0.15,0.155,0.282,0.14,0.148,0.228,0.225,0.228,0.238,0.233,0.217,0.221,0.249,0.239,0.277,0.141,0.152,0.21,0.212,0.207,0.189,0.186,0.195,0.194,0.19,0.178,0.251,0.143,0.163,0.154,0.156,0.14,0.153,0.141,0.137,0.145,0.149,0.147,0.145,0.148
3:59:10,3.99,37,0.149,0.145,0.16,0.145,0.15,0.142,0.141,0.143,0.145,0.141,0.141,0.14,0.159,0.299,0.281,0.286,0.273,0.275,0.283,0.284,0.286,0.285,0.333,0.144,0.151,0.198,0.203,0.199,0.178,0.181,0.173,0.182,0.169,0.195,0.317,0.14,0.152,0.278,0.276,0.259,0.258,0.27,0.275,0.281,0.266,0.253,0.31,0.141,0.16,0.147,0.148,0.158,0.142,0.14,0.16,0.143,0.152,0.161,0.313,0.14,0.147,0.256,0.246,0.273,0.267,0.27,0.269,0.274,0.265,0.284,0.305,0.14,0.152,0.211,0.211,0.206,0.188,0.186,0.194,0.193,0.19,0.186,0.299,0.143,0.162,0.153,0.156,0.14,0.152,0.141,0.136,0.145,0.149,0.147,0.146,0.148
4:29:10,4.49,37,0.149,0.145,0.159,0.145,0.15,0.141,0.141,0.142,0.145,0.141,0.142,0.14,0.159,0.326,0.316,0.313,0.283,0.293,0.289,0.301,0.342,0.314,0.341,0.143,0.15,0.199,0.207,0.202,0.179,0.181,0.173,0.182,0.172,0.219,0.336,0.141,0.151,0.295,0.303,0.268,0.254,0.277,0.276,0.28,0.3,0.27,0.331,0.14,0.16,0.147,0.148,0.158,0.142,0.14,0.16,0.144,0.157,0.173,0.327,0.14,0.148,0.269,0.272,0.263,0.277,0.258,0.269,0.249,0.284,0.277,0.323,0.141,0.151,0.208,0.21,0.204,0.187,0.185,0.193,0.193,0.19,0.206,0.317,0.142,0.162,0.152,0.155,0.14,0.152,0.141,0.136,0.145,0.149,0.147,0.145,0.148
4:59:10,4.99,37,0.148,0.145,0.159,0.145,0.15,0.141,0.14,0.143,0.145,0.142,0.142,0.14,0.159,0.354,0.317,0.335,0.316,0.318,0.303,0.316,0.346,0.34,0.366,0.143,0.15,0.2,0.214,0.208,0.183,0.184,0.174,0.183,0.176,0.257,0.351,0.141,0.151,0.309,0.306,0.28,0.262,0.292,0.274,0.28,0.306,0.287,0.346,0.141,0.16,0.147,0.148,0.158,0.142,0.14,0.162,0.147,0.165,0.187,0.323,0.14,0.148,0.29,0.296,0.266,0.281,0.263,0.264,0.287,0.309,0.316,0.337,0.141,0.151,0.208,0.209,0.203,0.185,0.186,0.192,0.192,0.19,0.244,0.333,0.142,0.162,0.152,0.156,0.14,0.152,0.141,0.136,0.145,0.148,0.147,0.145,0.148
5:29:10,5.49,37,0.148,0.144,0.158,0.145,0.149,0.141,0.14,0.142,0.144,0.141,0.141,0.14,0.159,0.395,0.364,0.366,0.375,0.37,0.37,0.385,0.417,0.404,0.398,0.143,0.149,0.2,0.218,0.212,0.184,0.185,0.175,0.185,0.181,0.301,0.385,0.14,0.151,0.33,0.326,0.335,0.334,0.319,0.348,0.355,0.361,0.356,0.409,0.141,0.159,0.147,0.148,0.158,0.142,0.141,0.163,0.152,0.18,0.238,0.349,0.14,0.148,0.32,0.308,0.311,0.311,0.319,0.324,0.339,0.347,0.374,0.379,0.14,0.151,0.207,0.208,0.201,0.184,0.185,0.191,0.191,0.19,0.313,0.383,0.142,0.162,0.152,0.155,0.14,0.151,0.141,0.136,0.145,0.148,0.146,0.145,0.148
