X,Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:29:10,0.49,37.1,0.144,0.151,0.155,0.153,0.164,0.147,0.144,0.146,0.142,0.141,0.153,0.152,0.145,0.191,0.179,0.181,0.17,0.163,0.162,0.161,0.147,0.153,0.145,0.142,0.164,0.158,0.148,0.143,0.152,0.149,0.148,0.148,0.144,0.146,0.152,0.139,0.157,0.221,0.204,0.2,0.196,0.187,0.178,0.173,0.159,0.152,0.148,0.141,0.152,0.151,0.15,0.142,0.156,0.157,0.154,0.145,0.144,0.146,0.144,0.144,0.16,0.173,0.153,0.142,0.165,0.158,0.147,0.15,0.144,0.152,0.156,0.142,0.153,0.166,0.146,0.145,0.151,0.148,0.149,0.151,0.152,0.148,0.143,0.154,0.146,0.156,0.153,0.138,0.154,0.154,0.148,0.154,0.147,0.146,0.139,0.148
0:59:10,0.99,37,0.146,0.151,0.156,0.153,0.163,0.148,0.142,0.145,0.141,0.141,0.153,0.149,0.145,0.192,0.18,0.182,0.172,0.165,0.164,0.164,0.149,0.154,0.145,0.141,0.163,0.157,0.148,0.142,0.152,0.148,0.147,0.148,0.144,0.146,0.151,0.138,0.156,0.222,0.207,0.201,0.2,0.189,0.181,0.175,0.16,0.153,0.147,0.14,0.149,0.151,0.149,0.141,0.155,0.155,0.152,0.145,0.144,0.147,0.144,0.143,0.158,0.171,0.153,0.142,0.164,0.158,0.147,0.15,0.144,0.152,0.155,0.141,0.152,0.165,0.146,0.145,0.15,0.148,0.148,0.15,0.151,0.148,0.143,0.153,0.146,0.152,0.153,0.135,0.151,0.151,0.146,0.151,0.143,0.145,0.14,0.147
1:29:10,1.49,37,0.144,0.15,0.155,0.153,0.162,0.147,0.144,0.145,0.141,0.141,0.152,0.149,0.144,0.191,0.18,0.181,0.171,0.164,0.164,0.165,0.151,0.157,0.146,0.141,0.161,0.156,0.147,0.142,0.151,0.148,0.147,0.148,0.143,0.146,0.151,0.139,0.154,0.221,0.206,0.2,0.198,0.188,0.181,0.177,0.163,0.156,0.148,0.14,0.151,0.15,0.149,0.141,0.154,0.154,0.151,0.145,0.145,0.147,0.145,0.144,0.158,0.17,0.152,0.142,0.164,0.158,0.147,0.151,0.145,0.152,0.156,0.142,0.151,0.164,0.146,0.144,0.15,0.148,0.149,0.152,0.152,0.149,0.144,0.153,0.145,0.151,0.152,0.136,0.152,0.151,0.145,0.151,0.144,0.145,0.138,0.146
1:59:10,1.99,37,0.144,0.151,0.154,0.151,0.161,0.146,0.142,0.146,0.141,0.142,0.152,0.149,0.145,0.191,0.18,0.182,0.171,0.164,0.163,0.166,0.155,0.163,0.149,0.141,0.162,0.156,0.147,0.142,0.151,0.147,0.147,0.148,0.144,0.147,0.153,0.139,0.153,0.217,0.203,0.199,0.196,0.187,0.182,0.18,0.168,0.161,0.15,0.14,0.15,0.15,0.149,0.141,0.154,0.153,0.151,0.145,0.147,0.15,0.147,0.143,0.158,0.17,0.152,0.141,0.163,0.158,0.148,0.152,0.147,0.155,0.158,0.141,0.151,0.164,0.145,0.144,0.15,0.148,0.148,0.151,0.153,0.15,0.147,0.153,0.144,0.152,0.151,0.136,0.151,0.15,0.146,0.151,0.144,0.145,0.138,0.146
2:29:10,2.49,37,0.145,0.15,0.154,0.151,0.161,0.146,0.142,0.146,0.141,0.142,0.151,0.149,0.145,0.191,0.18,0.182,0.172,0.165,0.164,0.168,0.161,0.179,0.168,0.14,0.161,0.155,0.147,0.142,0.151,0.147,0.147,0.148,0.144,0.148,0.172,0.138,0.154,0.213,0.2,0.196,0.195,0.186,0.183,0.187,0.183,0.181,0.167,0.14,0.151,0.15,0.149,0.141,0.153,0.153,0.151,0.145,0.149,0.162,0.163,0.143,0.158,0.169,0.151,0.141,0.163,0.158,0.148,0.153,0.151,0.169,0.174,0.142,0.15,0.164,0.145,0.144,0.149,0.147,0.148,0.152,0.154,0.163,0.164,0.153,0.145,0.152,0.151,0.136,0.15,0.148,0.145,0.15,0.144,0.145,0.139,0.146
2:59:10,2.99,37.1,0.147,0.15,0.153,0.151,0.16,0.146,0.142,0.146,0.141,0.141,0.151,0.149,0.146,0.19,0.18,0.182,0.173,0.166,0.164,0.171,0.172,0.21,0.219,0.14,0.16,0.155,0.146,0.142,0.151,0.147,0.147,0.147,0.144,0.149,0.219,0.139,0.153,0.207,0.196,0.193,0.192,0.184,0.185,0.204,0.211,0.217,0.217,0.14,0.15,0.15,0.149,0.141,0.153,0.153,0.15,0.145,0.149,0.189,0.21,0.143,0.157,0.169,0.152,0.141,0.162,0.158,0.148,0.153,0.16,0.201,0.218,0.142,0.15,0.163,0.144,0.144,0.149,0.148,0.148,0.151,0.154,0.188,0.208,0.153,0.145,0.15,0.152,0.136,0.149,0.147,0.145,0.151,0.143,0.145,0.139,0.146
3:29:10,3.49,37,0.144,0.149,0.154,0.15,0.16,0.145,0.141,0.146,0.14,0.142,0.152,0.149,0.145,0.19,0.181,0.183,0.174,0.167,0.166,0.174,0.194,0.273,0.277,0.14,0.16,0.155,0.146,0.142,0.151,0.147,0.147,0.147,0.145,0.151,0.279,0.138,0.153,0.204,0.193,0.191,0.189,0.185,0.188,0.232,0.263,0.283,0.279,0.14,0.15,0.15,0.149,0.141,0.153,0.152,0.15,0.145,0.15,0.251,0.299,0.143,0.157,0.169,0.151,0.142,0.162,0.158,0.148,0.154,0.17,0.272,0.311,0.141,0.15,0.163,0.144,0.144,0.149,0.148,0.148,0.151,0.155,0.246,0.3,0.153,0.146,0.15,0.151,0.137,0.15,0.147,0.144,0.15,0.142,0.145,0.139,0.145
3:59:10,3.99,37,0.145,0.15,0.153,0.151,0.16,0.146,0.141,0.145,0.14,0.142,0.152,0.148,0.145,0.19,0.182,0.183,0.175,0.17,0.168,0.177,0.225,0.348,0.313,0.14,0.159,0.155,0.146,0.142,0.151,0.146,0.147,0.147,0.145,0.153,0.32,0.138,0.154,0.2,0.189,0.188,0.187,0.183,0.197,0.275,0.331,0.341,0.327,0.139,0.15,0.15,0.149,0.141,0.152,0.152,0.15,0.145,0.151,0.317,0.34,0.143,0.157,0.168,0.151,0.142,0.162,0.158,0.148,0.154,0.183,0.332,0.351,0.141,0.149,0.163,0.144,0.143,0.149,0.148,0.149,0.151,0.156,0.321,0.342,0.152,0.145,0.15,0.151,0.136,0.149,0.148,0.143,0.151,0.142,0.144,0.138,0.145
4:29:10,4.49,37.1,0.145,0.149,0.153,0.151,0.16,0.145,0.141,0.146,0.14,0.141,0.151,0.148,0.145,0.192,0.183,0.184,0.178,0.171,0.17,0.183,0.268,0.41,0.382,0.14,0.159,0.155,0.146,0.142,0.151,0.147,0.147,0.148,0.145,0.162,0.381,0.138,0.153,0.197,0.186,0.187,0.185,0.184,0.21,0.32,0.381,0.39,0.382,0.14,0.149,0.15,0.149,0.141,0.152,0.152,0.15,0.146,0.152,0.358,0.391,0.142,0.157,0.168,0.151,0.142,0.161,0.158,0.149,0.155,0.197,0.379,0.401,0.141,0.149,0.163,0.144,0.144,0.149,0.148,0.149,0.152,0.157,0.363,0.39,0.152,0.145,0.148,0.15,0.136,0.149,0.148,0.143,0.151,0.142,0.144,0.138,0.145
4:59:10,4.99,37,0.144,0.149,0.152,0.151,0.159,0.145,0.141,0.145,0.14,0.141,0.151,0.148,0.145,0.194,0.184,0.184,0.18,0.174,0.172,0.193,0.299,0.463,0.434,0.14,0.159,0.155,0.146,0.142,0.152,0.147,0.147,0.148,0.145,0.17,0.43,0.138,0.153,0.195,0.184,0.185,0.185,0.184,0.234,0.357,0.426,0.442,0.433,0.139,0.15,0.15,0.149,0.142,0.152,0.153,0.151,0.146,0.152,0.397,0.446,0.143,0.157,0.168,0.151,0.142,0.162,0.158,0.15,0.157,0.211,0.419,0.46,0.141,0.148,0.163,0.144,0.145,0.15,0.148,0.149,0.152,0.158,0.406,0.451,0.152,0.146,0.149,0.151,0.136,0.147,0.148,0.143,0.151,0.142,0.144,0.139,0.145
