day	bacteria	rep	live	mean.live
0	P.putrida	1	10	10
1	P.putrida	1	9	8.5
2	P.putrida	1	5	6.5
3	P.putrida	1	4	6
4	P.putrida	1	4	6
5	P.putrida	1	4	6
6	P.putrida	1	4	6
7	P.putrida	1	4	6
0	P.putrida	2	10	
1	P.putrida	2	8	
2	P.putrida	2	8	
3	P.putrida	2	8	
4	P.putrida	2	8	
5	P.putrida	2	8	
6	P.putrida	2	8	
7	P.putrida	2	8	
0	P.fluorescens	1	10	10
1	P.fluorescens	1	6	5.5
2	P.fluorescens	1	5	4.5
3	P.fluorescens	1	5	4
4	P.fluorescens	1	5	3
5	P.fluorescens	1	5	3
6	P.fluorescens	1	5	3
7	P.fluorescens	1	4	2.5
0	P.fluorescens	2	10	
1	P.fluorescens	2	5	
2	P.fluorescens	2	4	
3	P.fluorescens	2	3	
4	P.fluorescens	2	1	
5	P.fluorescens	2	1	
6	P.fluorescens	2	1	
7	P.fluorescens	2	1	
0	MOPS	1	10	10
1	MOPS	1	8	8.5
2	MOPS	1	8	8
3	MOPS	1	8	8
4	MOPS	1	8	8
5	MOPS	1	8	8
6	MOPS	1	8	8
7	MOPS	1	8	8
0	MOPS	2	10	
1	MOPS	2	9	
2	MOPS	2	8	
3	MOPS	2	8	
4	MOPS	2	8	
5	MOPS	2	8	
6	MOPS	2	8	
7	MOPS	2	8	
