X,Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:29:10,0.49,36.9,0.142,0.145,0.159,0.156,0.15,0.149,0.157,0.156,0.149,0.165,0.154,0.151,0.14,0.179,0.172,0.181,0.174,0.165,0.163,0.168,0.151,0.163,0.16,0.145,0.142,0.161,0.143,0.161,0.156,0.146,0.147,0.155,0.158,0.154,0.16,0.162,0.15,0.216,0.202,0.203,0.196,0.179,0.181,0.172,0.159,0.154,0.158,0.153,0.143,0.184,0.181,0.183,0.168,0.164,0.17,0.164,0.159,0.174,0.167,0.16,0.14,0.151,0.155,0.15,0.153,0.149,0.16,0.157,0.159,0.158,0.175,0.168,0.154,0.203,0.209,0.193,0.195,0.183,0.194,0.173,0.164,0.169,0.177,0.164,0.149,0.152,0.147,0.151,0.153,0.145,0.147,0.156,0.152,0.153,0.161,0.152
0:59:10,0.99,37,0.141,0.144,0.158,0.156,0.15,0.148,0.155,0.156,0.148,0.165,0.152,0.148,0.14,0.181,0.173,0.181,0.175,0.167,0.164,0.169,0.151,0.162,0.159,0.145,0.14,0.159,0.142,0.164,0.158,0.147,0.147,0.154,0.158,0.154,0.159,0.161,0.147,0.215,0.202,0.204,0.196,0.18,0.183,0.173,0.16,0.154,0.158,0.152,0.143,0.187,0.184,0.189,0.174,0.167,0.174,0.168,0.162,0.177,0.169,0.16,0.14,0.151,0.155,0.15,0.154,0.15,0.16,0.158,0.162,0.161,0.177,0.168,0.152,0.203,0.21,0.198,0.198,0.185,0.196,0.177,0.168,0.171,0.18,0.164,0.145,0.15,0.144,0.148,0.151,0.146,0.146,0.155,0.151,0.152,0.161,0.153
1:29:10,1.49,37,0.141,0.145,0.157,0.156,0.15,0.148,0.155,0.156,0.147,0.162,0.151,0.149,0.14,0.18,0.172,0.18,0.174,0.167,0.164,0.168,0.152,0.163,0.16,0.144,0.139,0.158,0.141,0.16,0.155,0.145,0.147,0.153,0.157,0.153,0.16,0.16,0.144,0.214,0.2,0.202,0.194,0.178,0.181,0.172,0.161,0.154,0.158,0.152,0.141,0.186,0.184,0.186,0.174,0.169,0.176,0.172,0.166,0.182,0.174,0.159,0.14,0.15,0.155,0.15,0.154,0.151,0.159,0.16,0.164,0.165,0.181,0.166,0.15,0.203,0.209,0.194,0.196,0.183,0.197,0.181,0.173,0.176,0.186,0.164,0.145,0.149,0.143,0.147,0.15,0.146,0.145,0.155,0.15,0.15,0.159,0.153
1:59:10,1.99,37,0.141,0.144,0.157,0.154,0.151,0.148,0.153,0.155,0.148,0.16,0.149,0.148,0.14,0.179,0.172,0.179,0.172,0.166,0.163,0.169,0.154,0.165,0.161,0.144,0.139,0.158,0.141,0.16,0.154,0.145,0.146,0.154,0.156,0.153,0.162,0.159,0.144,0.212,0.198,0.2,0.192,0.176,0.18,0.173,0.164,0.157,0.16,0.153,0.14,0.186,0.183,0.185,0.174,0.169,0.178,0.177,0.173,0.19,0.182,0.159,0.14,0.151,0.155,0.149,0.155,0.151,0.16,0.162,0.166,0.169,0.188,0.165,0.149,0.201,0.209,0.194,0.194,0.182,0.197,0.185,0.18,0.184,0.195,0.164,0.145,0.15,0.143,0.147,0.151,0.146,0.144,0.155,0.15,0.149,0.159,0.152
2:29:10,2.49,37,0.141,0.144,0.156,0.154,0.149,0.148,0.153,0.156,0.148,0.159,0.149,0.146,0.141,0.178,0.171,0.178,0.172,0.165,0.163,0.17,0.16,0.171,0.175,0.144,0.138,0.157,0.141,0.159,0.154,0.145,0.146,0.153,0.156,0.154,0.175,0.158,0.143,0.208,0.195,0.199,0.192,0.175,0.181,0.177,0.174,0.168,0.172,0.153,0.14,0.187,0.185,0.185,0.173,0.169,0.181,0.182,0.181,0.201,0.198,0.158,0.14,0.15,0.155,0.149,0.155,0.151,0.16,0.162,0.168,0.174,0.203,0.164,0.148,0.199,0.207,0.193,0.194,0.18,0.198,0.194,0.194,0.2,0.208,0.163,0.144,0.15,0.144,0.147,0.15,0.145,0.145,0.155,0.15,0.149,0.159,0.152
2:59:10,2.99,37,0.14,0.142,0.155,0.153,0.148,0.148,0.152,0.155,0.148,0.16,0.149,0.147,0.14,0.177,0.171,0.179,0.172,0.165,0.163,0.173,0.175,0.205,0.212,0.144,0.138,0.157,0.141,0.159,0.154,0.145,0.146,0.153,0.156,0.154,0.215,0.159,0.142,0.205,0.193,0.2,0.191,0.175,0.183,0.195,0.2,0.203,0.209,0.152,0.14,0.187,0.184,0.185,0.174,0.169,0.183,0.192,0.194,0.221,0.222,0.16,0.14,0.15,0.155,0.149,0.155,0.151,0.16,0.162,0.169,0.177,0.227,0.163,0.148,0.198,0.206,0.191,0.195,0.18,0.201,0.208,0.216,0.226,0.231,0.163,0.144,0.149,0.143,0.146,0.148,0.145,0.144,0.155,0.15,0.15,0.159,0.152
3:29:10,3.49,37,0.14,0.142,0.155,0.153,0.149,0.148,0.151,0.154,0.148,0.159,0.148,0.147,0.141,0.176,0.17,0.179,0.173,0.167,0.164,0.178,0.211,0.27,0.294,0.144,0.138,0.157,0.141,0.158,0.154,0.145,0.146,0.153,0.156,0.155,0.289,0.158,0.142,0.202,0.191,0.199,0.189,0.176,0.19,0.235,0.258,0.283,0.281,0.152,0.14,0.186,0.185,0.185,0.174,0.169,0.185,0.202,0.213,0.252,0.261,0.159,0.14,0.15,0.155,0.149,0.155,0.151,0.159,0.163,0.17,0.182,0.267,0.164,0.148,0.195,0.206,0.19,0.194,0.181,0.205,0.228,0.246,0.261,0.269,0.163,0.145,0.148,0.143,0.146,0.148,0.145,0.143,0.154,0.149,0.15,0.158,0.152
3:59:10,3.99,37,0.14,0.143,0.155,0.152,0.15,0.148,0.151,0.155,0.147,0.159,0.148,0.147,0.14,0.175,0.169,0.178,0.172,0.169,0.165,0.191,0.276,0.34,0.33,0.144,0.139,0.157,0.141,0.158,0.154,0.145,0.146,0.153,0.156,0.156,0.316,0.158,0.142,0.2,0.188,0.199,0.189,0.178,0.208,0.31,0.345,0.355,0.319,0.152,0.139,0.185,0.185,0.185,0.174,0.17,0.188,0.216,0.238,0.297,0.311,0.157,0.14,0.149,0.155,0.149,0.154,0.151,0.159,0.162,0.171,0.186,0.317,0.163,0.147,0.193,0.203,0.189,0.196,0.182,0.213,0.253,0.282,0.305,0.317,0.162,0.144,0.149,0.142,0.146,0.148,0.145,0.144,0.154,0.15,0.149,0.157,0.152
4:29:10,4.49,37,0.14,0.142,0.157,0.151,0.149,0.148,0.151,0.155,0.147,0.159,0.148,0.146,0.14,0.174,0.169,0.178,0.173,0.171,0.169,0.217,0.349,0.388,0.375,0.144,0.138,0.157,0.142,0.158,0.154,0.145,0.146,0.153,0.156,0.156,0.353,0.158,0.142,0.198,0.187,0.199,0.189,0.18,0.239,0.38,0.399,0.398,0.357,0.152,0.139,0.185,0.185,0.186,0.175,0.17,0.192,0.232,0.266,0.348,0.362,0.157,0.139,0.149,0.154,0.149,0.155,0.151,0.16,0.162,0.172,0.191,0.368,0.161,0.146,0.192,0.202,0.188,0.196,0.182,0.224,0.28,0.322,0.344,0.366,0.162,0.144,0.149,0.142,0.145,0.147,0.145,0.144,0.155,0.149,0.149,0.158,0.152
4:59:10,4.99,37,0.14,0.142,0.154,0.152,0.148,0.148,0.15,0.155,0.147,0.158,0.148,0.146,0.14,0.173,0.169,0.178,0.173,0.174,0.172,0.252,0.406,0.426,0.417,0.144,0.138,0.157,0.142,0.158,0.154,0.145,0.146,0.153,0.156,0.156,0.393,0.158,0.142,0.196,0.186,0.201,0.189,0.181,0.285,0.421,0.436,0.442,0.411,0.151,0.139,0.187,0.186,0.186,0.175,0.171,0.196,0.243,0.292,0.392,0.407,0.156,0.139,0.149,0.154,0.149,0.154,0.151,0.159,0.162,0.173,0.197,0.413,0.162,0.146,0.191,0.202,0.187,0.195,0.184,0.237,0.312,0.362,0.371,0.408,0.162,0.144,0.148,0.141,0.146,0.148,0.145,0.143,0.153,0.149,0.149,0.157,0.151
