X,Time,Temp,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12
0:29:10,0.49,37,0.159,0.145,0.14,0.155,0.151,0.135,0.144,0.152,0.146,0.168,0.166,0.163,0.139,0.148,0.147,0.154,0.148,0.15,0.151,0.16,0.16,0.166,0.153,0.16,0.15,0.158,0.147,0.151,0.146,0.146,0.151,0.162,0.165,0.168,0.166,0.163,0.146,0.155,0.163,0.144,0.155,0.148,0.141,0.167,0.163,0.151,0.161,0.174,0.141,0.169,0.18,0.176,0.17,0.164,0.174,0.166,0.183,0.157,0.182,0.157,0.143,0.183,0.195,0.173,0.201,0.169,0.199,0.191,0.2,0.165,0.177,0.161,0.138,0.194,0.221,0.179,0.236,0.183,0.218,0.203,0.231,0.154,0.167,0.178,0.145,0.148,0.158,0.154,0.153,0.158,0.148,0.16,0.174,0.162,0.172,0.175
0:59:10,0.99,37,0.158,0.144,0.14,0.155,0.149,0.135,0.144,0.151,0.145,0.164,0.164,0.162,0.141,0.148,0.147,0.155,0.148,0.148,0.15,0.163,0.16,0.165,0.153,0.159,0.149,0.158,0.148,0.157,0.148,0.146,0.149,0.164,0.164,0.167,0.166,0.162,0.146,0.155,0.162,0.147,0.155,0.148,0.14,0.169,0.163,0.15,0.16,0.174,0.141,0.17,0.182,0.18,0.173,0.165,0.175,0.17,0.188,0.155,0.182,0.157,0.142,0.185,0.197,0.177,0.204,0.171,0.2,0.194,0.203,0.164,0.177,0.161,0.138,0.194,0.221,0.184,0.234,0.182,0.216,0.203,0.233,0.153,0.167,0.177,0.145,0.148,0.155,0.153,0.151,0.158,0.147,0.157,0.172,0.157,0.172,0.174
1:29:10,1.49,37,0.157,0.145,0.14,0.154,0.148,0.134,0.143,0.15,0.144,0.162,0.164,0.162,0.14,0.15,0.148,0.159,0.15,0.149,0.15,0.168,0.16,0.164,0.154,0.159,0.147,0.16,0.15,0.158,0.148,0.146,0.148,0.168,0.163,0.165,0.165,0.162,0.146,0.157,0.163,0.152,0.156,0.148,0.141,0.174,0.163,0.149,0.16,0.173,0.141,0.172,0.184,0.183,0.177,0.165,0.173,0.173,0.192,0.154,0.181,0.158,0.142,0.185,0.194,0.178,0.202,0.17,0.199,0.193,0.202,0.162,0.176,0.161,0.137,0.192,0.216,0.181,0.232,0.18,0.212,0.202,0.23,0.153,0.167,0.176,0.144,0.147,0.154,0.152,0.151,0.158,0.145,0.156,0.171,0.157,0.172,0.174
1:59:10,1.99,37,0.158,0.144,0.141,0.154,0.146,0.133,0.143,0.149,0.145,0.161,0.164,0.162,0.14,0.153,0.151,0.169,0.155,0.15,0.149,0.175,0.16,0.164,0.153,0.159,0.147,0.163,0.152,0.169,0.15,0.147,0.148,0.175,0.163,0.164,0.165,0.162,0.146,0.16,0.164,0.163,0.157,0.149,0.141,0.182,0.162,0.149,0.16,0.173,0.14,0.175,0.187,0.189,0.184,0.165,0.175,0.178,0.197,0.154,0.181,0.157,0.142,0.185,0.193,0.178,0.203,0.169,0.197,0.192,0.201,0.161,0.176,0.16,0.137,0.189,0.211,0.179,0.228,0.178,0.206,0.201,0.225,0.152,0.167,0.176,0.143,0.147,0.153,0.151,0.15,0.157,0.146,0.156,0.17,0.156,0.172,0.173
2:29:10,2.49,37,0.157,0.144,0.14,0.154,0.147,0.133,0.143,0.149,0.145,0.161,0.164,0.162,0.139,0.158,0.155,0.193,0.166,0.155,0.149,0.189,0.159,0.164,0.153,0.159,0.147,0.169,0.156,0.193,0.155,0.152,0.148,0.189,0.163,0.163,0.165,0.162,0.145,0.165,0.168,0.189,0.159,0.154,0.141,0.197,0.163,0.148,0.16,0.173,0.14,0.18,0.193,0.198,0.198,0.166,0.177,0.183,0.204,0.154,0.181,0.157,0.141,0.187,0.192,0.179,0.208,0.168,0.194,0.192,0.201,0.16,0.176,0.16,0.136,0.186,0.206,0.178,0.226,0.175,0.201,0.199,0.221,0.152,0.167,0.175,0.143,0.146,0.153,0.151,0.149,0.158,0.146,0.156,0.169,0.155,0.171,0.173
2:59:10,2.99,37,0.157,0.144,0.141,0.154,0.147,0.133,0.144,0.149,0.145,0.161,0.164,0.162,0.138,0.171,0.165,0.245,0.188,0.189,0.149,0.213,0.159,0.164,0.153,0.159,0.146,0.182,0.164,0.238,0.164,0.18,0.148,0.212,0.163,0.163,0.165,0.162,0.145,0.179,0.175,0.241,0.162,0.184,0.142,0.221,0.164,0.149,0.16,0.173,0.14,0.193,0.207,0.212,0.224,0.166,0.185,0.191,0.215,0.153,0.18,0.157,0.141,0.189,0.196,0.18,0.222,0.167,0.192,0.192,0.201,0.16,0.176,0.16,0.137,0.184,0.201,0.178,0.224,0.173,0.196,0.198,0.217,0.153,0.167,0.175,0.144,0.146,0.153,0.151,0.15,0.158,0.146,0.154,0.167,0.155,0.171,0.173
3:29:10,3.49,37.1,0.157,0.144,0.14,0.153,0.148,0.134,0.144,0.149,0.145,0.161,0.164,0.162,0.139,0.187,0.181,0.281,0.229,0.246,0.148,0.247,0.159,0.163,0.153,0.159,0.147,0.2,0.18,0.285,0.18,0.23,0.149,0.245,0.163,0.162,0.165,0.162,0.145,0.2,0.192,0.278,0.167,0.262,0.143,0.257,0.166,0.148,0.16,0.173,0.14,0.215,0.232,0.238,0.262,0.168,0.215,0.202,0.234,0.155,0.18,0.157,0.141,0.194,0.202,0.183,0.251,0.166,0.19,0.193,0.201,0.16,0.176,0.16,0.137,0.182,0.198,0.181,0.222,0.171,0.191,0.196,0.214,0.152,0.167,0.175,0.144,0.145,0.152,0.151,0.149,0.157,0.146,0.154,0.167,0.156,0.171,0.173
3:59:10,3.99,37,0.157,0.144,0.141,0.152,0.147,0.134,0.144,0.149,0.145,0.16,0.164,0.162,0.141,0.212,0.203,0.304,0.272,0.299,0.149,0.289,0.159,0.163,0.153,0.159,0.146,0.227,0.2,0.296,0.207,0.268,0.149,0.286,0.164,0.162,0.165,0.162,0.145,0.234,0.213,0.298,0.175,0.289,0.144,0.3,0.169,0.148,0.16,0.173,0.139,0.242,0.269,0.276,0.302,0.17,0.277,0.214,0.264,0.153,0.18,0.157,0.141,0.201,0.214,0.188,0.299,0.166,0.188,0.194,0.202,0.159,0.176,0.16,0.136,0.18,0.196,0.185,0.221,0.169,0.187,0.196,0.211,0.152,0.167,0.175,0.144,0.146,0.151,0.151,0.149,0.156,0.146,0.154,0.167,0.154,0.171,0.173
4:29:10,4.49,37,0.158,0.144,0.141,0.151,0.147,0.133,0.144,0.149,0.144,0.16,0.164,0.162,0.14,0.252,0.235,0.321,0.288,0.315,0.148,0.332,0.159,0.162,0.153,0.159,0.146,0.268,0.231,0.311,0.257,0.293,0.149,0.328,0.166,0.161,0.165,0.162,0.145,0.281,0.24,0.308,0.189,0.31,0.145,0.342,0.171,0.148,0.16,0.173,0.139,0.275,0.318,0.316,0.313,0.176,0.362,0.225,0.306,0.153,0.18,0.157,0.141,0.208,0.227,0.196,0.352,0.165,0.187,0.195,0.203,0.159,0.176,0.16,0.136,0.178,0.194,0.191,0.22,0.167,0.184,0.196,0.206,0.152,0.167,0.174,0.144,0.146,0.152,0.15,0.148,0.156,0.145,0.154,0.167,0.154,0.171,0.173
4:59:10,4.99,37,0.157,0.143,0.141,0.151,0.149,0.133,0.143,0.15,0.145,0.16,0.164,0.161,0.139,0.295,0.283,0.335,0.299,0.35,0.148,0.376,0.159,0.162,0.153,0.159,0.146,0.314,0.275,0.328,0.277,0.387,0.15,0.379,0.167,0.161,0.164,0.162,0.144,0.336,0.277,0.34,0.214,0.37,0.146,0.386,0.174,0.148,0.16,0.172,0.139,0.313,0.374,0.341,0.336,0.188,0.442,0.239,0.355,0.152,0.18,0.157,0.141,0.215,0.243,0.209,0.394,0.164,0.186,0.197,0.205,0.158,0.176,0.16,0.136,0.177,0.192,0.199,0.219,0.166,0.181,0.197,0.204,0.151,0.167,0.174,0.145,0.145,0.153,0.149,0.148,0.156,0.145,0.152,0.166,0.153,0.171,0.173
